user_id,date,day_num,questionnaire,correct_categories,worst_categories,positive_score,neutral_score,negative_score,most_frequent,peak_value,latest_value,average_value,weighted_average,cluster_based,weighted_cluster,most_frequent_match,peak_value_match,latest_value_match,average_value_match,weighted_average_match,cluster_based_match,weighted_cluster_match,most_frequent_avoid_worst,peak_value_avoid_worst,latest_value_avoid_worst,average_value_avoid_worst,weighted_average_avoid_worst,cluster_based_avoid_worst,weighted_cluster_avoid_worst
test01,2025-10-25,1,Positive,"Positive,Negative",Neutral,8,6,8,Positive,Positive,Positive,Positive,Positive,Positive,Positive,True,True,True,True,True,True,True,True,True,True,True,True,True,True
test01,2025-10-26,2,Negative,Negative,"Positive,Neutral",3,3,9,Positive,Negative,Positive,Positive,Positive,Positive,Positive,False,True,False,False,False,False,False,False,True,False,False,False,False,False
test01,2025-10-27,3,Negative,Negative,"Positive,Neutral",6,6,8,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,False,False,False,False,False,False,False,False,False,False,False,False,False,False
02,2025-10-28,1,Negative,Negative,Positive,2,3,4,Negative,Negative,Neutral,Negative,Neutral,Negative,Negative,True,True,False,True,False,True,True,True,True,True,True,True,True,True
02,2025-10-29,2,Positive,"Positive,Neutral",Negative,5,5,3,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,False,True,True,True,True,False,True,False,True,True,True,True,False,True
02,2025-10-30,3,Negative,Negative,Positive,1,2,3,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,True,False,False,False,False,True,False,True,False,True,True,True,True,True
user05,2025-10-25,1,Positive,"Positive,Neutral",Negative,6,6,2,Positive,Positive,Neutral,Positive,Positive,Positive,Positive,True,True,True,True,True,True,True,True,True,True,True,True,True,True
user05,2025-10-26,2,Neutral,Neutral,Negative,3,6,2,Positive,Positive,Positive,Positive,Positive,Positive,Positive,False,False,False,False,False,False,False,True,True,True,True,True,True,True
user05,2025-10-27,3,Positive,"Positive,Neutral",Negative,6,6,2,Positive,Negative,Neutral,Positive,Positive,Positive,Positive,True,False,True,True,True,True,True,True,False,True,True,True,True,True
user03,2025-10-24,1,Neutral,Neutral,Negative,7,9,3,Negative,Negative,Positive,Neutral,Neutral,Negative,Neutral,False,False,False,True,True,False,True,False,False,True,True,True,False,True
user03,2025-10-25,2,Positive,Positive,Negative,6,5,2,Positive,Positive,Neutral,Positive,Positive,Positive,Positive,True,True,False,True,True,True,True,True,True,True,True,True,True,True
user03,2025-10-27,3,Positive,Positive,"Neutral,Negative",9,6,6,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive,True,True,False,False,False,True,True,True,True,False,False,False,True,True
user04,2025-10-24,1,Positive,"Positive,Negative",Neutral,8,4,8,Negative,Negative,Negative,Neutral,Neutral,Negative,Neutral,True,True,True,False,False,True,False,True,True,True,False,False,True,False
user04,2025-10-25,2,Positive,Positive,Negative,8,7,4,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,False,False,False,False,False,False,False,False,False,True,True,True,False,True
user04,2025-10-27,3,Positive,Positive,Neutral,9,3,7,Positive,Negative,Neutral,Neutral,Neutral,Positive,Neutral,True,False,False,False,False,True,False,True,True,False,False,False,True,False
10,2025-10-28,1,Neutral,Neutral,Positive,5,8,6,Positive,Positive,Positive,Positive,Positive,Positive,Positive,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2025-10-29,2,Neutral,Neutral,Positive,1,7,5,Negative,Negative,Negative,Negative,Negative,Negative,Negative,False,False,False,False,False,False,False,True,True,True,True,True,True,True
10,2025-10-30,3,Negative,Negative,Neutral,4,3,10,Positive,Negative,Negative,Positive,Neutral,Positive,Positive,False,True,True,False,False,False,False,True,True,True,True,False,True,True
09,2025-10-28,1,Negative,Negative,Neutral,6,4,8,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,False,True,True,False,False,False,False,True,True,True,False,False,True,False
09,2025-10-29,2,Negative,Negative,"Positive,Neutral",3,3,7,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,False,True,True,False,False,False,False,False,True,True,False,False,False,False
09,2025-10-30,3,Neutral,Neutral,Negative,5,6,2,Positive,Negative,Negative,Positive,Positive,Positive,Positive,False,False,False,False,False,False,False,True,False,False,True,True,True,True
user01,2025-10-30,1,Negative,Negative,Neutral,5,3,6,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,True,True,False,False,False,True,False,True,True,False,False,False,True,False
user01,2025-10-31,2,Neutral,Neutral,"Positive,Negative",5,8,5,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,False,False,True,True,True,False,True,False,False,True,True,True,False,True
user01,2025-11-01,3,Positive,"Positive,Negative",Neutral,7,6,7,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,True,True,False,False,False,True,True,True,True,False,False,False,True,True
06,2025-10-28,1,Positive,Positive,Neutral,6,2,4,Negative,Negative,Negative,Negative,Negative,Negative,Negative,False,False,False,False,False,False,False,True,True,True,True,True,True,True
06,2025-10-29,2,Negative,Negative,Neutral,6,3,7,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,True,True,False,False,False,True,True,True,True,True,False,False,True,True
06,2025-10-30,3,Positive,Positive,"Neutral,Negative",6,3,3,Negative,Negative,Neutral,Negative,Negative,Negative,Negative,False,False,False,False,False,False,False,False,False,False,False,False,False,False
08,2025-10-28,1,Positive,Positive,"Neutral,Negative",8,7,7,Positive,Negative,Positive,Neutral,Neutral,Positive,Neutral,True,False,True,False,False,True,False,True,False,True,False,False,True,False
08,2025-10-29,2,Negative,Negative,Positive,4,5,7,Positive,Negative,Positive,Positive,Positive,Positive,Positive,False,True,False,False,False,False,False,False,True,False,False,False,False,False
08,2025-10-31,3,Positive,"Positive,Negative",Neutral,8,4,8,Positive,Positive,Negative,Positive,Neutral,Positive,Positive,True,True,True,True,False,True,True,True,True,True,True,False,True,True
